MENTION,position,situation,Twitter,Facebook,Instagram,YouTube
Shéridan,Deputada Federal,Titular em exercício,@DepSheridan,Shéridan Oliveira ,@deputadasheridan,UCuJL0QtppYsKH6KMnvaNN-Q
Silvia Cristina,Deputada Federal,Titular em exercício,@silviacristinax,Silvia Cristina ,@silviacristina.ro,UCDneHIIe---DIVW4AeG9luA
Soraya Santos,Deputada Federal,Titular em exercício,@sorayasantos,Soraya Santos ,@dep.sorayasantos,Não tem
Tabata Amaral,Deputada Federal,Titular em exercício,@tabataamaralsp,Tabata Amaral ,@tabataamaralsp,UCWcx5M5negY_kqSawo2bjZQ
Talíria Petrone,Deputada Federal,Titular em exercício,@taliriapetrone,Talíria Petrone ,@taliriapetrone,UCr_85T4z-xSLz_sIXbX-wtg
Tereza Nelma,Deputada Federal,Titular em exercício,@terezanelmaal,Tereza Nelma ,@terezanelmaal,UCrqBMtZOQNHUPnb8Y-gF9XA
Tia Eron,Deputada Federal,Suplente em exercício ,@TiaEron,Tia Eron ,@tiaeron,UCc76-jHsn4ZxgObLp2kH_tg
Vanda Milani,Deputada Federal,Titular em exercício,@MilaniVanda,-,@vandamilani_,UC0B0q2uJQpzZm8ejTqkiqzw
Vivi Reis,Deputada Federal,Efetivado em exercício,@vivireispsol,Vivi Reis ,@vivireispsol,Não tem
Eliane Nogueira,Senadora,Suplente em exercício ,,,,Não tem
Daniella Ribeiro,Senadora,Titular em exercício,@soudaniella111,Daniella 111,@daniellasenadora,UCRIM6jh_837E4Snng6Teqjw
Eliziane Gama,Senadora,Titular em exercício,@elizianegama,Eliziane Gama,@elizianegama,Não tem
Katia Abreu,Senadora,Titular em exercício,@KatiaAbreu,Kátia Abreu,@senadorakatiaabreu,UCa8C78VPlVtvEnLD3WrllHA
Leila Barros,Senadora,Titular em exercício,--,Leila do Vôlei,@leiladovolei,UCuJO6q8yk5NBgX3RjU9ZMSQ
Mailza Gomes,Senadora,Titular em exercício,@MailzaGomes,Mailza Gomes,@senadoramailzagomes,UCbAPFbWAr4Cy8H1F4geP2TQ
Nilda Gondim,Senadora,Titular em exercício,@nildagondimpb,Senadora Nilda Gondim,@senadoranildagondim,UCHS2CUjtbkfXM8fBOHK8eQw
Simone Tebet,Senadora,Titular em exercício,@SimoneTebetms,Simone Tebet,@simonetebet,UCIUrDYfCO0lMmuseV-wbRZQ
Soraya Thronicke,Senadora,Titular em exercício,@SorayaThronicke,Soraya Thronicke,@sorayathronicke,UCU0A7TGU0Evi_nDusL05hig
Zenaide Maia,Senadora,Titular em exercício,@zenaidern,Zenaide Senadora,@senadorazenaidemaia,UCv7wMAzurR0uhsMfPp8c0ZA
Rose de Freitas,Senadora,Titular em exercício,@SenadoraRose,@senadorarosedefreitas,@senadorarosedefreitas,UCRVCDd3w-MIRuY8hgrq7QHw
Mara Gabrilli,Senadora,Titular em exercício,@maragabrilli,@maragabrilli,@maragabrilli,UCYrqwzaxLjlrsjfVghGKsug
